,Variable,Topic,What it means,Units / how to read it,Type,Original Scorecard name,Official Scorecard description
1,school_id,Identity & location,Unique ID number for each school.,text,ID / text,UNITID,Unit ID for institution
2,school_name,Identity & location,Name of the school.,text,ID / text,INSTNM,Institution name
3,city,Identity & location,City where the school is located.,text,ID / text,CITY,City
4,state,Identity & location,"Two-letter state or territory abbreviation (e.g., CO).",text,ID / text,STABBR,State postcode
5,region_code,Identity & location,"Region of the country (e.g., 7 = Rocky Mountains, which includes Colorado). See Codes tab.",code (see Codes tab),Category,REGION,Region (IPEDS)
6,urban_rural_code,Identity & location,"How urban or rural the campus location is (city, suburb, town, rural). See Codes tab.",code (see Codes tab),Category,LOCALE,Locale of institution
7,latitude,Identity & location,Latitude of the campus. ,degrees,ID / text,LATITUDE,Latitude
8,longitude,Identity & location,Longitude of the campus. ,degrees,ID / text,LONGITUDE,Longitude
9,ownership_code,Type of school,"School type: 1 = public, 2 = private nonprofit, 3 = for-profit.",code (see Codes tab),Category,CONTROL,Control of institution (IPEDS)
10,main_degree_code,Type of school,"The type of award the school gives most: 1 = certificate, 2 = associate, 3 = bachelor's, 4 = graduate only.",code (see Codes tab),Category,PREDDEG,Predominant undergraduate degree awarded
11,highest_degree_code,Type of school,"Highest award the school offers: 0 = none, 1 = certificate, 2 = associate, 3 = bachelor's, 4 = graduate.",code (see Codes tab),Category,HIGHDEG,Highest degree awarded
12,school_level_code,Type of school,"Length of the school's programs: 1 = 4-year, 2 = 2-year, 3 = less than 2-year.",code (see Codes tab),Category,ICLEVEL,Level of institution
13,sector_code,Type of school,"Ownership and main degree combined into one code (e.g., 4 = public, mostly bachelor's). ",code (see Codes tab),Category,SCORECARD_SECTOR,College Scorecard sector (ownership x predominant degree)
14,carnegie_size_code,Type of school,"Carnegie size and setting (e.g., four-year, large, highly residential). See Codes tab.",code (see Codes tab),Category,CCSIZSET,Carnegie Classification -- size and setting
15,religious_affiliation_code,Type of school,"Religious affiliation, if any. See Codes tab. Blank for most public schools.",code (see Codes tab),Category,RELAFFIL,Religous affiliation of the institution
16,online_only,Type of school,All programs are offered only online.,"1 = yes, 0 = no",Yes/No flag,DISTANCEONLY,Flag for distance-education-only education
17,main_campus,Type of school,This is the main campus (0 = a branch campus).,"1 = yes, 0 = no",Yes/No flag,MAIN,Flag for main campus
18,is_hbcu,Type of school,Historically Black College or University.,"1 = yes, 0 = no",Yes/No flag,HBCU,Flag for Historically Black College and University
19,is_predominantly_black,Type of school,Predominantly Black Institution (federal designation).,"1 = yes, 0 = no",Yes/No flag,PBI,Flag for predominantly black institution
20,is_tribal_college,Type of school,Tribal college or university.,"1 = yes, 0 = no",Yes/No flag,TRIBAL,Flag for tribal college and university
21,is_hispanic_serving,Type of school,Hispanic-Serving Institution.,"1 = yes, 0 = no",Yes/No flag,HSI,Flag for Hispanic-serving institution
22,is_alaska_hawaiian_serving,Type of school,Alaska Native- or Native Hawaiian-Serving Institution.,"1 = yes, 0 = no",Yes/No flag,ANNHI,Flag for Alaska Native Native Hawaiian serving institution
23,is_asian_pacific_serving,Type of school,Asian American and Native American Pacific Islander-Serving Institution.,"1 = yes, 0 = no",Yes/No flag,AANAPII,Flag for Asian American Native American Pacific Islander-serving institution
24,is_native_american_serving,Type of school,Native American-Serving Nontribal Institution.,"1 = yes, 0 = no",Yes/No flag,NANTI,Flag for Native American non-tribal institution
25,is_men_only,Type of school,Enrolls only men.,"1 = yes, 0 = no",Yes/No flag,MENONLY,Flag for men-only college
26,is_women_only,Type of school,Enrolls only women.,"1 = yes, 0 = no",Yes/No flag,WOMENONLY,Flag for women-only college
27,admission_rate,Admissions & test scores,Share of applicants who were admitted. Blank for open-admission schools.,decimal (0.60 = 60%),Quantitative,ADM_RATE,Admission rate
28,sat_average,Admissions & test scores,Average combined SAT score of admitted students.,SAT points (400-1600),Quantitative,SAT_AVG,Average SAT equivalent score of students admitted
29,sat_reading_25th_pct,Admissions & test scores,25% of enrolled first-year students scored at or below this on SAT reading & writing.,SAT points (200-800),Quantitative,SATVR25,25th percentile of SAT scores at the institution (critical reading)
30,sat_reading_75th_pct,Admissions & test scores,75% of enrolled first-year students scored at or below this on SAT reading & writing.,SAT points (200-800),Quantitative,SATVR75,75th percentile of SAT scores at the institution (critical reading)
31,sat_math_25th_pct,Admissions & test scores,25% of enrolled first-year students scored at or below this on SAT math.,SAT points (200-800),Quantitative,SATMT25,25th percentile of SAT scores at the institution (math)
32,sat_math_75th_pct,Admissions & test scores,75% of enrolled first-year students scored at or below this on SAT math.,SAT points (200-800),Quantitative,SATMT75,75th percentile of SAT scores at the institution (math)
33,act_25th_pct,Admissions & test scores,25% of enrolled first-year students scored at or below this ACT composite.,ACT points (1-36),Quantitative,ACTCM25,25th percentile of the ACT cumulative score
34,act_75th_pct,Admissions & test scores,75% of enrolled first-year students scored at or below this ACT composite.,ACT points (1-36),Quantitative,ACTCM75,75th percentile of the ACT cumulative score
35,act_midpoint,Admissions & test scores,Midpoint of the ACT composite range for enrolled first-year students.,ACT points (1-36),Quantitative,ACTCMMID,Midpoint of the ACT cumulative score
36,undergrad_enrollment,Enrollment & who attends,Number of degree- or certificate-seeking undergraduates (fall enrollment).,number of students,Quantitative,UGDS,Enrollment of undergraduate certificate/degree-seeking students
37,grad_enrollment,Enrollment & who attends,Number of graduate students.,number of students,Quantitative,GRADS,Number of graduate students
38,pct_white,Enrollment & who attends,Share of undergraduates who are White.,decimal (0.25 = 25%),Quantitative,UGDS_WHITE,Total share of enrollment of undergraduate degree-seeking students who are white
39,pct_black,Enrollment & who attends,Share of undergraduates who are Black.,decimal (0.25 = 25%),Quantitative,UGDS_BLACK,Total share of enrollment of undergraduate degree-seeking students who are black
40,pct_hispanic,Enrollment & who attends,Share of undergraduates who are Hispanic/Latino.,decimal (0.25 = 25%),Quantitative,UGDS_HISP,Total share of enrollment of undergraduate degree-seeking students who are Hispanic
41,pct_asian,Enrollment & who attends,Share of undergraduates who are Asian.,decimal (0.25 = 25%),Quantitative,UGDS_ASIAN,Total share of enrollment of undergraduate degree-seeking students who are Asian
42,pct_native_american,Enrollment & who attends,Share of undergraduates who are American Indian or Alaska Native.,decimal (0.25 = 25%),Quantitative,UGDS_AIAN,Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native
43,pct_pacific_islander,Enrollment & who attends,Share of undergraduates who are Native Hawaiian or Pacific Islander.,decimal (0.25 = 25%),Quantitative,UGDS_NHPI,Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander
44,pct_two_or_more_races,Enrollment & who attends,Share of undergraduates who are two or more races.,decimal (0.25 = 25%),Quantitative,UGDS_2MOR,Total share of enrollment of undergraduate degree-seeking students who are two or more races
45,pct_international,Enrollment & who attends,Share of undergraduates who are international students (nonresidents).,decimal (0.25 = 25%),Quantitative,UGDS_NRA,Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens
46,pct_women,Enrollment & who attends,Share of undergraduates who are women.,decimal (0.25 = 25%),Quantitative,UGDS_WOMEN,Total share of enrollment of undergraduate degree-seeking students who are women
47,pct_part_time,Enrollment & who attends,Share of undergraduates attending part-time.,decimal (0.25 = 25%),Quantitative,PPTUG_EF,"Share of undergraduate, degree-/certificate-seeking students who are part-time"
48,pct_age_25_plus,Enrollment & who attends,Share of undergraduates age 25 or older.,decimal (0.25 = 25%),Quantitative,UG25ABV,Percentage of undergraduates aged 25 and above
49,pct_first_generation,Enrollment & who attends,Share of students whose parents did not attend college. Based on students who received federal financial aid.,decimal (0.25 = 25%),Quantitative,FIRST_GEN,Share of first-generation students
50,pct_pell_grant,Enrollment & who attends,Share of undergraduates receiving a Pell Grant (federal grant for students from low-income families).,decimal (0.25 = 25%),Quantitative,PCTPELL,Percentage of undergraduates who receive a Pell Grant
51,pct_federal_loan,Enrollment & who attends,Share of undergraduates taking out a federal student loan.,decimal (0.25 = 25%),Quantitative,PCTFLOAN,Percent of all undergraduate students receiving a federal student loan
52,avg_age_at_entry,Enrollment & who attends,Average age of students when they started at the school. Based on students who received federal financial aid.,years,Quantitative,AGE_ENTRY,Average age of entry
53,pct_veterans,Enrollment & who attends,Share of students who are military veterans. Based on students who received federal financial aid.,decimal (0.25 = 25%),Quantitative,VETERAN,Share of veteran students
54,median_family_income,Enrollment & who attends,Median family income of students (parents' income for dependent students). Based on students who received federal financial aid.,dollars,Quantitative,MD_FAMINC,Median family income
55,home_zip_median_income,Enrollment & who attends,Average median household income in students' home ZIP codes. Based on students who received federal financial aid.,dollars,Quantitative,MEDIAN_HH_INC,Median household income
